Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
Mitoribosome,RSM7,1,YJR113C
Mitoribosome,MRPL32,1,YCR003W
Mitoribosome,RSM10,1,YDR041W
Mitoribosome,MRP1,1,YDR347W
Mitoribosome,MRP20,1,YDR405W
Mitoribosome,MRPS8,1,YMR158W
Mitoribosome,MRPL31,1,YKL138C
Mitoribosome,MRPL23,1,YOR150W
Mitoribosome,MRPL40,1,YPL173W
Mitoribosome,MRPL25,1,YGR076C
Mitoribosome,MRP21,1,YBL090W
Mitoribosome,MRPL1,1,YDR116C
Mitoribosome,IMG1,1,YCR046C
Mitoribosome,MRPL27,1,YBR282W
Mitoribosome,MRP10,1,YDL045W-A
Mitoribosome,MRPS9,1,YBR146W
Mitoribosome,MRPS28,1,YDR337W
Mitoribosome,MRPL20,1,YKR085C
Mitoribosome,MRPL9,1,YGR220C
Mitoribosome,MRP7,1,YNL005C
Mitoribosome,MRPL50,1,YNR022C
Mitoribosome,MRPL8,1,YJL063C
Mitoribosome,MRP49,1,YKL167C
Mitoribosome,MRPL51,1,YPR100W
Mitoribosome,RSM25,1,YIL093C
Mitoribosome,RML2,1,YEL050C
Mitoribosome,MRP51,1,YPL118W
Mitoribosome,MNP1,1,YGL068W
Mitoribosome,MRPL11,1,YDL202W
Mitoribosome,MRPL10,1,YNL284C
Mitoribosome,MRPL4,1,YLR439W
Mitoribosome,MRPL37,1,YBR268W
Mitoribosome,MRPL36,1,YBR122C
Mitoribosome,MRPL28,1,YDR462W
Mitoribosome,RSM18,1,YER050C
Mitoribosome,MRPS18,1,YNL306W
Mitoribosome,MRPL15,1,YLR312W-A
Mitoribosome,IMG2,1,YCR071C
Mitoribosome,MRPL7,1,YDR237W
Mitoribosome,MRPS35,1,YGR165W
Mitoribosome,MRPL33,1,YMR286W
Mitoribosome,MRPL44,1,YMR225C
Mitoribosome,MRPS5,1,YBR251W
Mitoribosome,MRP13,1,YGR084C
Mitoribosome,MRPL24,1,YMR193W
Mitoribosome,RSM24,1,YDR175C
Mitoribosome,MRPL6,1,YHR147C
Mitoribosome,MRPL3,1,YMR024W
Mitoribosome,RSM26,1,YJR101W
Mitoribosome,RSM19,1,YNR037C
Mitoribosome,MRPL16,1,YBL038W
Mitoribosome,MRPS17,1,YMR188C
Mitoribosome,MRPL38,1,YKL170W
Mitoribosome,RSM27,1,YGR215W
Mitoribosome,MRPL13,1,YKR006C
Mitoribosome,MRPL35,1,YDR322W
Mitoribosome,NAM9,1,YNL137C
Mitoribosome,YML6,1,YML025C
Mitoribosome,MRPS16,1,YPL013C
Mitoribosome,MRPL22,1,YNL177C
Mitoribosome,PET123,1,YOR158W
Mitoribosome,MRPL39,1,YML009C
Mitoribosome,MRPL17,1,YNL252C
dna-ligase-iv_yeast,DNL4,1,YOR005C
dna-ligase-iv_yeast,LIF1,2,YGL090W
tho_yeast,MFT1,1,YML062C
tho_yeast,THP2,1,YHR167W
tho_yeast,HPR1,1,YDR138W
mrna_capping_yeast,CEG1,1,YGL130W
mrna_capping_yeast,CET1,2,YPL228W
aos1-uba2_yeast,AOS1,1,YPR180W
aos1-uba2_yeast,UBA2,1,YDR390C
keops_yeast,GON7,1,YJL184W
keops_yeast,PCC1,1,YKR095W-A
